OS Benchmark experiment
Test Name:,4.4.0-179-generic,
       ref          kbest:,0.000000026,
       ref        average:,0.000000035,
       cpu          kbest:,0.003133307,
       cpu        average:,0.003134985,
    getpid          kbest:,0.000000222,
    getpid        average:,0.000000257,
context siwtch          kbest:,0.000003912,
context siwtch        average:,0.000004275,
      send          kbest:,0.000000444,
      send        average:,0.000001300,
      recv          kbest:,0.000000908,
      recv        average:,0.000001743,
  big send          kbest:,0.000010558,
  big send        average:,0.000017059,
  big recv          kbest:,0.000022889,
  big recv        average:,0.000033800,
      fork          kbest:,0.000149954,
      fork       average:,0.000192616,
      fork    Child kbest:,0.000200185,
      fork Child average:,0.000293806,
thr create          kbest:,0.000005875,
thr create       average:,0.000012301,
thr create    Child kbest:,0.000008508,
thr create Child average:,0.000017528,
  big fork          kbest:,0.001110712,
  big fork       average:,0.003235061,
  big fork    Child kbest:,0.001254049,
  big fork Child average:,0.003366088,
 huge fork          kbest:,0.003696233,
 huge fork       average:,0.005934293,
 huge fork    Child kbest:,0.003847037,
 huge fork Child average:,0.006079575,
small write          kbest:,0.000000964,
small write        average:,0.000001125,
small read          kbest:,0.000000429,
small read        average:,0.000000587,
small mmap          kbest:,0.000000564,
small mmap        average:,0.000000592,
small munmap          kbest:,0.000000950,
small munmap        average:,0.000000971,
small page fault          kbest:,0.000000829,
small page fault        average:,0.000000861,
 mid write          kbest:,0.000006169,
 mid write        average:,0.000006322,
  mid read          kbest:,0.000002368,
  mid read        average:,0.000002938,
  mid mmap          kbest:,0.000000551,
  mid mmap        average:,0.000000566,
mid munmap          kbest:,0.000004053,
mid munmap        average:,0.000004146,
mid page fault          kbest:,0.000001367,
mid page fault        average:,0.000001393,
 big write          kbest:,0.000643289,
 big write        average:,0.000721910,
  big read          kbest:,0.000319686,
  big read        average:,0.000342731,
  big mmap          kbest:,0.000000570,
  big mmap        average:,0.000000598,
big munmap          kbest:,0.000101470,
big munmap        average:,0.000102042,
big page fault          kbest:,0.000001965,
big page fault        average:,0.000002133,
huge write          kbest:,0.014259203,
huge write        average:,0.014451038,
 huge read          kbest:,0.019076229,
 huge read        average:,0.019175132,
 huge mmap          kbest:,0.000000582,
 huge mmap        average:,0.000000600,
huge munmap          kbest:,0.001154300,
huge munmap        average:,0.001211886,
huge page fault          kbest:,0.000001954,
huge page fault        average:,0.000002079,
    select          kbest:,0.000000995,
    select        average:,0.000001073,
      poll          kbest:,0.000000894,
      poll        average:,0.000000957,
     epoll          kbest:,0.000000888,
     epoll        average:,0.000001000,
select big          kbest:,0.000070411,
select big        average:,0.000074911,
  poll big          kbest:,0.000065903,
  poll big        average:,0.000071624,
 epoll big          kbest:,0.000061104,
 epoll big        average:,0.000065273,
