OS Benchmark experiment
Test Name:,4.6.0-custom,
       ref          kbest:,0.000000026,
       ref        average:,0.000000036,
       cpu          kbest:,0.003133308,
       cpu        average:,0.003134478,
    getpid          kbest:,0.000000080,
    getpid        average:,0.000000081,
context siwtch          kbest:,0.000002627,
context siwtch        average:,0.000002742,
      send          kbest:,0.000000301,
      send        average:,0.000000831,
      recv          kbest:,0.000000517,
      recv        average:,0.000001258,
  big send          kbest:,0.000006611,
  big send        average:,0.000014543,
  big recv          kbest:,0.000018534,
  big recv        average:,0.000032823,
      fork          kbest:,0.000143023,
      fork       average:,0.000191863,
      fork    Child kbest:,0.000218052,
      fork Child average:,0.000272858,
thr create          kbest:,0.000006122,
thr create       average:,0.000009919,
thr create    Child kbest:,0.000008837,
thr create Child average:,0.000013905,
  big fork          kbest:,0.001050404,
  big fork       average:,0.003151747,
  big fork    Child kbest:,0.001133223,
  big fork Child average:,0.003268963,
 huge fork          kbest:,0.002596229,
 huge fork       average:,0.006123637,
 huge fork    Child kbest:,0.002656274,
 huge fork Child average:,0.006249134,
small write          kbest:,0.000000611,
small write        average:,0.000000761,
small read          kbest:,0.000000279,
small read        average:,0.000000422,
small mmap          kbest:,0.000000370,
small mmap        average:,0.000000380,
small munmap          kbest:,0.000000589,
small munmap        average:,0.000000661,
small page fault          kbest:,0.000000476,
small page fault        average:,0.000000499,
 mid write          kbest:,0.000005465,
 mid write        average:,0.000005684,
  mid read          kbest:,0.000002674,
  mid read        average:,0.000003119,
  mid mmap          kbest:,0.000000361,
  mid mmap        average:,0.000000368,
mid munmap          kbest:,0.000002396,
mid munmap        average:,0.000002535,
mid page fault          kbest:,0.000001016,
mid page fault        average:,0.000001051,
 big write          kbest:,0.000642429,
 big write        average:,0.000648734,
  big read          kbest:,0.000316468,
  big read        average:,0.000318398,
  big mmap          kbest:,0.000000295,
  big mmap        average:,0.000000304,
big munmap          kbest:,0.000101391,
big munmap        average:,0.000104522,
big page fault          kbest:,0.000001548,
big page fault        average:,0.000001608,
huge write          kbest:,0.013724687,
huge write        average:,0.013864663,
 huge read          kbest:,0.013437070,
 huge read        average:,0.013565540,
 huge mmap          kbest:,0.000000298,
 huge mmap        average:,0.000000321,
huge munmap          kbest:,0.001077350,
huge munmap        average:,0.001128369,
huge page fault          kbest:,0.000001531,
huge page fault        average:,0.000001568,
    select          kbest:,0.000000452,
    select        average:,0.000000508,
      poll          kbest:,0.000000343,
      poll        average:,0.000000366,
     epoll          kbest:,0.000000370,
     epoll        average:,0.000000411,
select big          kbest:,0.000045381,
select big        average:,0.000048840,
  poll big          kbest:,0.000045914,
  poll big        average:,0.000049626,
 epoll big          kbest:,0.000045165,
 epoll big        average:,0.000049615,
