OS Benchmark experiment
Test Name:,4.6.0-custom,
       ref          kbest:,0.000000026,
       ref        average:,0.000000035,
       cpu          kbest:,0.003133308,
       cpu        average:,0.003134660,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000081,
context siwtch          kbest:,0.000002096,
context siwtch        average:,0.000002210,
      send          kbest:,0.000000261,
      send        average:,0.000000785,
      recv          kbest:,0.000000342,
      recv        average:,0.000001127,
  big send          kbest:,0.000006583,
  big send        average:,0.000016392,
  big recv          kbest:,0.000018187,
  big recv        average:,0.000033166,
      fork          kbest:,0.000142193,
      fork       average:,0.000189995,
      fork    Child kbest:,0.000203706,
      fork Child average:,0.000271904,
thr create          kbest:,0.000005956,
thr create       average:,0.000009587,
thr create    Child kbest:,0.000008590,
thr create Child average:,0.000013396,
  big fork          kbest:,0.001071743,
  big fork       average:,0.003060061,
  big fork    Child kbest:,0.001104123,
  big fork Child average:,0.003162305,
 huge fork          kbest:,0.003110347,
 huge fork       average:,0.006137023,
 huge fork    Child kbest:,0.003209970,
 huge fork Child average:,0.006252886,
small write          kbest:,0.000000606,
small write        average:,0.000000744,
small read          kbest:,0.000000220,
small read        average:,0.000000422,
small mmap          kbest:,0.000000292,
small mmap        average:,0.000000299,
small munmap          kbest:,0.000000596,
small munmap        average:,0.000000624,
small page fault          kbest:,0.000000486,
small page fault        average:,0.000000844,
 mid write          kbest:,0.000005462,
 mid write        average:,0.000005735,
  mid read          kbest:,0.000002124,
  mid read        average:,0.000002778,
  mid mmap          kbest:,0.000000285,
  mid mmap        average:,0.000000290,
mid munmap          kbest:,0.000002502,
mid munmap        average:,0.000002566,
mid page fault          kbest:,0.000000490,
mid page fault        average:,0.000000502,
 big write          kbest:,0.000625217,
 big write        average:,0.000668286,
  big read          kbest:,0.000301516,
  big read        average:,0.000302994,
  big mmap          kbest:,0.000000298,
  big mmap        average:,0.000000304,
big munmap          kbest:,0.000102237,
big munmap        average:,0.000105577,
big page fault          kbest:,0.000000647,
big page fault        average:,0.000000684,
huge write          kbest:,0.014153368,
huge write        average:,0.014343447,
 huge read          kbest:,0.014014854,
 huge read        average:,0.014231764,
 huge mmap          kbest:,0.000000298,
 huge mmap        average:,0.000000305,
huge munmap          kbest:,0.001095410,
huge munmap        average:,0.001185422,
huge page fault          kbest:,0.000000651,
huge page fault        average:,0.000000690,
    select          kbest:,0.000000456,
    select        average:,0.000000479,
      poll          kbest:,0.000000341,
      poll        average:,0.000000408,
     epoll          kbest:,0.000000370,
     epoll        average:,0.000000406,
select big          kbest:,0.000045677,
select big        average:,0.000049244,
  poll big          kbest:,0.000046269,
  poll big        average:,0.000049859,
 epoll big          kbest:,0.000045164,
 epoll big        average:,0.000049974,
