OS Benchmark experiment
Test Name:,4.6.0-custom,
       ref          kbest:,0.000000026,
       ref        average:,0.000000036,
       cpu          kbest:,0.003133308,
       cpu        average:,0.003134544,
    getpid          kbest:,0.000000078,
    getpid        average:,0.000000080,
context siwtch          kbest:,0.000002526,
context siwtch        average:,0.000002761,
      send          kbest:,0.000000296,
      send        average:,0.000000676,
      recv          kbest:,0.000000336,
      recv        average:,0.000000931,
  big send          kbest:,0.000007564,
  big send        average:,0.000015826,
  big recv          kbest:,0.000020156,
  big recv        average:,0.000032964,
      fork          kbest:,0.000149321,
      fork       average:,0.000188362,
      fork    Child kbest:,0.000200319,
      fork Child average:,0.000267266,
thr create          kbest:,0.000003963,
thr create       average:,0.000008975,
thr create    Child kbest:,0.000005845,
thr create Child average:,0.000012855,
  big fork          kbest:,0.000947416,
  big fork       average:,0.003067438,
  big fork    Child kbest:,0.001033717,
  big fork Child average:,0.003168927,
 huge fork          kbest:,0.003069245,
 huge fork       average:,0.006190000,
 huge fork    Child kbest:,0.003160260,
 huge fork Child average:,0.006301539,
small write          kbest:,0.000000621,
small write        average:,0.000000763,
small read          kbest:,0.000000222,
small read        average:,0.000000362,
small mmap          kbest:,0.000000298,
small mmap        average:,0.000000314,
small munmap          kbest:,0.000000553,
small munmap        average:,0.000000571,
small page fault          kbest:,0.000000478,
small page fault        average:,0.000000493,
 mid write          kbest:,0.000005490,
 mid write        average:,0.000005663,
  mid read          kbest:,0.000002473,
  mid read        average:,0.000002611,
  mid mmap          kbest:,0.000000430,
  mid mmap        average:,0.000000479,
mid munmap          kbest:,0.000002274,
mid munmap        average:,0.000002361,
mid page fault          kbest:,0.000000487,
mid page fault        average:,0.000000504,
 big write          kbest:,0.000641390,
 big write        average:,0.000654055,
  big read          kbest:,0.000316550,
  big read        average:,0.000318700,
  big mmap          kbest:,0.000000292,
  big mmap        average:,0.000000321,
big munmap          kbest:,0.000095746,
big munmap        average:,0.000099428,
big page fault          kbest:,0.000000642,
big page fault        average:,0.000000677,
huge write          kbest:,0.013685365,
huge write        average:,0.014054919,
 huge read          kbest:,0.012857356,
 huge read        average:,0.013116278,
 huge mmap          kbest:,0.000000285,
 huge mmap        average:,0.000000294,
huge munmap          kbest:,0.001044827,
huge munmap        average:,0.001068870,
huge page fault          kbest:,0.000000651,
huge page fault        average:,0.000000678,
    select          kbest:,0.000000453,
    select        average:,0.000000505,
      poll          kbest:,0.000000340,
      poll        average:,0.000000377,
     epoll          kbest:,0.000000369,
     epoll        average:,0.000000407,
select big          kbest:,0.000043749,
select big        average:,0.000047306,
  poll big          kbest:,0.000044492,
  poll big        average:,0.000049205,
 epoll big          kbest:,0.000043287,
 epoll big        average:,0.000047217,
